1,,SFO,LAX,VX,1930,"2015-09-02 08:00","2015-09-02 09:20",LAX,SFO,VX,945,"2015-09-16 17:30","2015-09-16 18:40",195,42,238,,
2,,SFO,PHX,F9,1358,"2015-09-02 16:50","2015-09-02 18:39",PHX,SFO,F9,1365,"2015-09-16 16:00","2015-09-16 18:05",10,29,40,,
3,,SFO,SEA,VX,752,"2015-09-02 20:50","2015-09-02 22:45",SEA,SFO,VX,755,"2015-09-16 17:20","2015-09-16 19:25",246,46,293,,
4,,SFO,DEN,F9,660,"2015-09-02 06:00","2015-09-02 09:30",DEN,SFO,F9,659,"2015-09-16 14:25","2015-09-16 16:03",10,29,40,,
5,,SFO,DAL,VX,751,"2015-09-02 09:55","2015-09-02 15:20",DAL,SFO,VX,713,"2015-09-16 07:50","2015-09-16 09:25",320,52,373,,
6,,SFO,ORD,F9,1244,"2015-09-02 22:25","2015-09-03 04:30",ORD,SFO,F9,1245,"2015-09-16 21:20","2015-09-16 23:58",158,40,199,,
7,,SEA,ATL,AS,750,"2015-09-02 16:10","2015-09-02 23:54",ATL,SEA,AS,749,"2015-09-16 07:00","2015-09-16 09:15",393,57,451,,
8,,SFO,MIA,US,208,"2015-09-02 07:00","2015-09-02 15:43",MIA,SFO,US,1130,"2015-09-16 14:05","2015-09-16 17:08",380,56,437,,
9,,SFO,IAD,US,1899,"2015-09-02 07:15","2015-09-02 17:16",IAD,SFO,US,1544,"2015-09-16 18:40","2015-09-17 00:10",379,72,451,,
10,,SFO,JFK,VX,26,"2015-09-02 15:10","2015-09-02 23:40",JFK,SFO,VX,25,"2015-09-16 11:55","2015-09-16 15:05",416,59,476,,
11,,SFO,BOS,UA,708,"2015-09-02 15:09","2015-09-02 23:44",BOS,SFO,UA,503,"2015-09-16 18:40","2015-09-16 21:58",426,60,487,,
12,,SFO,LAS,B6,2288,"2015-09-02 08:00","2015-09-02 09:36",LAS,SFO,B6,2689,"2015-09-16 20:11","2015-09-16 21:49",52,32,84,,
13,,SFO,OGG,HA,41,"2015-09-02 10:30","2015-09-02 12:45",OGG,SFO,HA,42,"2015-09-16 14:35","2015-09-16 22:30",603,46,650,,
14,,LAX,SFO,VX,945,"2015-09-02 17:30","2015-09-02 18:40",SFO,LAX,VX,922,"2015-09-16 07:00","2015-09-16 08:20",195,42,238,,
15,,LAX,PHX,US,5757,"2015-09-02 18:35","2015-09-02 20:03",PHX,LAX,US,5630,"2015-09-16 15:55","2015-09-16 17:16",154,39,194,,
16,,LAX,SEA,VX,795,"2015-09-02 14:30","2015-09-02 16:55",SEA,LAX,VX,784,"2015-09-16 11:15","2015-09-16 13:45",261,47,309,,
17,,LAX,DEN,F9,402,"2015-09-02 20:35","2015-09-02 23:46",DEN,LAX,F9,405,"2015-09-16 12:20","2015-09-16 13:45",10,29,40,,
18,,LAX,DFW,NK,866,"2015-09-02 09:45","2015-09-02 14:38",DFW,LAX,NK,869,"2015-09-16 15:40","2015-09-16 16:56",65,33,98,,
19,,LAX,ORD,NK,736,"2015-09-02 17:55","2015-09-02 23:58",ORD,LAX,NK,737,"2015-09-16 07:05","2015-09-16 09:45",128,37,166,,
20,,LAX,ATL,NK,474,"2015-09-02 11:48","2015-09-02 19:08",ATL,LAX,NK,473,"2015-09-16 10:45","2015-09-16 12:33",128,37,166,,
21,,LAX,MIA,US,1297,"2015-09-02 10:45","2015-09-02 19:10",MIA,LAX,US,1352,"2015-09-16 06:59","2015-09-16 09:25",221,44,266,,
22,,LAX,JFK,UA,867,"2015-09-02 12:50","2015-09-02 21:20",JFK,LAX,UA,841,"2015-09-16 14:31","2015-09-16 17:34",440,61,502,,
23,,LAX,BOS,UA,1070,"2015-09-02 08:30","2015-09-02 17:01",BOS,LAX,UA,1942,"2015-09-16 18:05","2015-09-16 21:17",370,55,426,,
24,,LAX,LAS,NK,720,"2015-09-02 15:30","2015-09-02 16:36",LAS,LAX,NK,719,"2015-09-16 20:15","2015-09-16 21:29",48,31,80,,
25,,LAX,OGG,HA,55,"2015-09-02 13:10","2015-09-02 16:00",OGG,LAX,HA,34,"2015-09-16 15:45","2015-09-16 23:55",499,46,546,,
26,,PHX,SFO,F9,1365,"2015-09-02 16:00","2015-09-02 18:03",SFO,PHX,F9,1358,"2015-09-16 16:45","2015-09-16 18:45",10,29,40,,
27,,PHX,LAX,US,5751,"2015-09-02 16:15","2015-09-02 17:38",LAX,PHX,US,5627,"2015-09-16 19:25","2015-09-16 20:46",154,39,194,,
28,,PHX,SEA,US,521,"2015-09-02 16:35","2015-09-02 19:25",SEA,PHX,US,520,"2015-09-16 05:15","2015-09-16 08:00",371,56,427,,
29,,PHX,DEN,F9,756,"2015-09-02 05:09","2015-09-02 07:55",DEN,PHX,F9,755,"2015-09-16 14:28","2015-09-16 15:15",10,29,40,,
30,,PHX,DFW,NK,972,"2015-09-02 00:55","2015-09-02 05:03",DFW,PHX,NK,971,"2015-09-16 23:30","2015-09-16 23:56",65,33,98,,
31,,PHX,ORD,US,2380,"2015-09-02 05:35","2015-09-02 11:06",ORD,PHX,US,409,"2015-09-16 13:50","2015-09-16 15:44",174,41,216,,
32,,PHX,ATL,US,614,"2015-09-02 15:10","2015-09-02 21:55",ATL,PHX,US,413,"2015-09-16 11:45","2015-09-16 12:43",409,58,468,,
33,,PHX,MIA,US,370,"2015-09-02 08:40","2015-09-02 16:16",MIA,PHX,US,124,"2015-09-16 07:05","2015-09-16 09:15",518,67,585,,
34,,PHX,IAD,US,1388,"2015-09-02 05:00","2015-09-02 14:32",IAD,PHX,US,1544,"2015-09-16 18:40","2015-09-16 23:02",307,68,376,,
35,,PHX,JFK,US,622,"2015-09-02 15:30","2015-09-02 23:26",JFK,PHX,US,654,"2015-09-16 13:30","2015-09-16 15:54",341,53,395,,
36,,PHX,LAS,US,636,"2015-09-02 16:55","2015-09-02 18:01",LAS,PHX,US,735,"2015-09-16 19:45","2015-09-16 20:50",197,42,240,,
37,,PHX,OGG,US,432,"2015-09-02 10:40","2015-09-02 14:10",OGG,PHX,US,645,"2015-09-16 22:30","2015-09-17 07:11",461,50,512,,
38,,DEN,SFO,F9,663,"2015-09-02 20:00","2015-09-02 21:36",SFO,DEN,F9,658,"2015-09-16 10:15","2015-09-16 13:44",10,29,40,,
39,,DEN,LAX,F9,409,"2015-09-02 20:45","2015-09-02 22:09",LAX,DEN,F9,402,"2015-09-16 20:35","2015-09-16 23:50",10,29,40,,
40,,DEN,SEA,F9,137,"2015-09-02 07:54","2015-09-02 09:45",SEA,DEN,F9,142,"2015-09-16 19:35","2015-09-16 23:06",10,29,40,,
41,,DEN,PHX,F9,755,"2015-09-02 14:24","2015-09-02 15:10",PHX,DEN,F9,756,"2015-09-16 05:05","2015-09-16 07:52",10,29,40,,
42,,DEN,DFW,F9,122,"2015-09-02 16:50","2015-09-02 19:38",DFW,DEN,F9,131,"2015-09-16 19:00","2015-09-16 20:05",10,29,40,,
43,,DEN,ORD,NK,630,"2015-09-02 13:34","2015-09-02 17:09",ORD,DEN,NK,847,"2015-09-16 10:55","2015-09-16 12:27",65,33,98,,
44,,DEN,ATL,F9,426,"2015-09-02 07:00","2015-09-02 11:47",ATL,DEN,F9,429,"2015-09-16 07:45","2015-09-16 09:04",10,29,40,,
45,,DEN,MIA,F9,612,"2015-09-02 23:30","2015-09-03 05:15",MIA,DEN,F9,619,"2015-09-16 21:20","2015-09-16 23:40",156,39,196,,
46,,DEN,IAD,UA,644,"2015-09-02 11:35","2015-09-02 16:49",IAD,DEN,UA,309,"2015-09-16 19:54","2015-09-16 21:33",414,59,474,,
47,,DEN,JFK,B6,98,"2015-09-02 23:59","2015-09-03 05:42",JFK,DEN,B6,97,"2015-09-16 20:35","2015-09-16 23:08",240,46,286,,
48,,DEN,BOS,B6,294,"2015-09-02 10:55","2015-09-02 16:49",BOS,DEN,B6,993,"2015-09-16 19:53","2015-09-16 22:20",244,46,291,,
49,,DEN,LAS,F9,761,"2015-09-02 21:20","2015-09-02 22:10",LAS,DEN,F9,764,"2015-09-16 08:55","2015-09-16 11:44",10,29,40,,
50,,DEN,OGG,US,5927,"2015-09-02 06:50","2015-09-02 11:55",OGG,DEN,US,645,"2015-09-16 22:30","2015-09-17 11:27",655,78,734,,
51,,DAL,SFO,VX,721,"2015-09-02 12:00","2015-09-02 13:35",SFO,DAL,VX,751,"2015-09-16 09:55","2015-09-16 15:20",320,52,373,,
52,,DFW,LAX,NK,867,"2015-09-02 06:30","2015-09-02 07:35",LAX,DFW,NK,868,"2015-09-16 19:17","2015-09-17 00:06",65,33,98,,
53,,DFW,PHX,NK,971,"2015-09-02 23:15","2015-09-02 23:33",PHX,DFW,NK,972,"2015-09-16 01:00","2015-09-16 05:04",65,33,98,,
54,,DFW,SEA,AS,667,"2015-09-02 19:55","2015-09-02 22:00",SEA,DFW,AS,662,"2015-09-16 13:00","2015-09-16 18:52",299,50,350,,
55,,DFW,DEN,F9,125,"2015-09-02 09:35","2015-09-02 10:35",DEN,DFW,F9,124,"2015-09-16 06:00","2015-09-16 08:55",10,29,40,,
56,,DFW,ORD,NK,940,"2015-09-02 06:10","2015-09-02 08:30",ORD,DFW,NK,893,"2015-09-16 09:23","2015-09-16 11:45",65,33,98,,
57,,DFW,ATL,NK,403,"2015-09-02 15:30","2015-09-02 18:41",ATL,DFW,NK,146,"2015-09-16 18:35","2015-09-16 19:54",65,33,98,,
58,,DFW,MIA,US,1511,"2015-09-02 15:05","2015-09-02 19:02",MIA,DFW,US,281,"2015-09-16 05:50","2015-09-16 08:06",105,36,141,,
59,,DFW,IAD,UA,4040,"2015-09-02 07:26","2015-09-02 11:28",IAD,DFW,UA,3735,"2015-09-16 14:36","2015-09-16 16:44",128,37,166,,
60,,DFW,JFK,US,356,"2015-09-02 17:00","2015-09-02 21:54",JFK,DFW,US,1110,"2015-09-16 06:30","2015-09-16 09:30",255,47,303,,
61,,DFW,BOS,NK,254,"2015-09-02 08:35","2015-09-02 13:10",BOS,DFW,NK,857,"2015-09-16 08:16","2015-09-16 11:28",65,33,98,,
62,,DFW,LAS,US,1499,"2015-09-02 07:05","2015-09-02 07:56",LAS,DFW,US,1088,"2015-09-16 06:00","2015-09-16 10:47",65,33,98,,
63,,DFW,OGG,US,119,"2015-09-02 10:50","2015-09-02 13:55",OGG,DFW,US,6,"2015-09-16 17:15","2015-09-17 05:36",748,64,813,,
64,,ORD,SFO,F9,1245,"2015-09-02 21:20","2015-09-02 23:55",SFO,ORD,F9,1244,"2015-09-16 22:25","2015-09-17 04:33",10,29,40,,
65,,ORD,LAX,F9,1271,"2015-09-02 20:55","2015-09-02 23:20",LAX,ORD,F9,1270,"2015-09-16 00:35","2015-09-16 06:40",10,29,40,,
66,,ORD,PHX,US,452,"2015-09-02 05:10","2015-09-02 06:43",PHX,ORD,US,2380,"2015-09-16 05:30","2015-09-16 10:56",174,41,216,,
67,,ORD,SEA,AS,27,"2015-09-02 06:15","2015-09-02 08:34",SEA,ORD,AS,26,"2015-09-16 18:10","2015-09-16 23:57",365,55,421,,
68,,ORD,DEN,NK,847,"2015-09-02 10:55","2015-09-02 12:24",DEN,ORD,NK,630,"2015-09-16 13:43","2015-09-16 17:15",83,34,118,,
69,,ORD,DFW,NK,893,"2015-09-02 09:20","2015-09-02 11:34",DFW,ORD,NK,940,"2015-09-16 06:17","2015-09-16 08:41",65,33,98,,
70,,ORD,ATL,F9,1275,"2015-09-02 14:50","2015-09-02 17:55",ATL,ORD,F9,1276,"2015-09-16 12:47","2015-09-16 13:55",10,29,40,,
71,,ORD,MIA,F9,1312,"2015-09-02 07:35","2015-09-02 11:40",MIA,ORD,F9,1315,"2015-09-16 12:20","2015-09-16 14:43",10,29,40,,
72,,ORD,IAD,UA,342,"2015-09-02 20:50","2015-09-02 23:35",IAD,ORD,UA,485,"2015-09-16 22:00","2015-09-16 22:57",330,52,383,,
73,,ORD,JFK,B6,106,"2015-09-02 06:00","2015-09-02 09:12",JFK,ORD,B6,105,"2015-09-16 19:30","2015-09-16 21:15",65,33,98,,
74,,ORD,BOS,UA,448,"2015-09-02 10:59","2015-09-02 14:17",BOS,ORD,UA,1591,"2015-09-16 06:15","2015-09-16 07:53",65,33,98,,
75,,ORD,LAS,NK,457,"2015-09-02 21:55","2015-09-02 23:41",LAS,ORD,NK,136,"2015-09-16 08:20","2015-09-16 13:56",137,38,176,,
76,,ORD,OGG,UA,219,"2015-09-02 09:15","2015-09-02 15:39",OGG,ORD,UA,482,"2015-09-16 14:25","2015-09-17 05:21",718,82,800,,
77,,ATL,CLT,US,461,"2015-09-02 07:00","2015-09-02 08:16",SFO,PHX,US,614,"2015-09-16 12:00","2015-09-16 13:58",253,55,309,,
78,,ATL,LAX,NK,473,"2015-09-02 10:32","2015-09-02 12:18",LAX,ATL,NK,474,"2015-09-16 11:48","2015-09-16 19:08",156,39,196,,
79,,ATL,PHX,US,413,"2015-09-02 11:45","2015-09-02 12:37",PHX,ATL,US,614,"2015-09-16 15:10","2015-09-16 21:46",409,58,468,,
80,,ATL,PHX,US,413,"2015-09-02 11:45","2015-09-02 12:37",SEA,ATL,AS,750,"2015-09-16 16:10","2015-09-16 23:54",270,52,323,,
81,,ATL,DEN,F9,429,"2015-09-02 07:45","2015-09-02 09:03",DEN,ATL,F9,426,"2015-09-16 07:00","2015-09-16 11:48",10,29,40,,
82,,ATL,DFW,NK,600,"2015-09-02 18:29","2015-09-02 19:41",DFW,ATL,NK,163,"2015-09-16 08:00","2015-09-16 11:08",65,33,98,,
83,,ATL,ORD,F9,1276,"2015-09-02 12:50","2015-09-02 13:55",ORD,ATL,F9,1275,"2015-09-16 14:50","2015-09-16 17:58",10,29,40,,
84,,ATL,MIA,F9,604,"2015-09-02 16:20","2015-09-02 18:15",MIA,ATL,F9,1443,"2015-09-16 14:20","2015-09-16 16:20",10,29,40,,
85,,ATL,IAD,F9,212,"2015-09-02 14:55","2015-09-02 16:49",IAD,ATL,F9,1491,"2015-09-16 13:15","2015-09-16 15:13",103,35,139,,
86,,ATL,ACY,NK,332,"2015-09-02 13:58","2015-09-02 15:52",BOS,ATL,NK,146,"2015-09-16 14:58","2015-09-16 17:55",174,45,220,,
87,,ATL,LAS,NK,805,"2015-09-02 20:55","2015-09-02 22:07",LAS,ATL,NK,806,"2015-09-16 23:20","2015-09-17 06:10",119,37,156,,
88,,ATL,OGG,US,2437,"2015-09-02 12:30","2015-09-02 20:17",OGG,ATL,US,254,"2015-09-16 13:20","2015-09-17 06:43",600,70,670,,
89,,MIA,SFO,US,1130,"2015-09-02 14:05","2015-09-02 16:58",SFO,MIA,US,272,"2015-09-16 23:53","2015-09-17 08:11",380,56,437,,
90,,MIA,LAX,US,295,"2015-09-02 09:30","2015-09-02 12:03",LAX,MIA,US,28,"2015-09-16 12:30","2015-09-16 20:40",221,44,266,,
91,,MIA,SEA,US,134,"2015-09-02 19:55","2015-09-02 23:23",SEA,MIA,US,1070,"2015-09-16 23:05","2015-09-17 07:42",434,60,495,,
92,,MIA,DEN,F9,619,"2015-09-02 21:15","2015-09-02 23:35",DEN,MIA,F9,612,"2015-09-16 23:30","2015-09-17 05:15",83,34,118,,
93,,MIA,DFW,US,990,"2015-09-02 12:25","2015-09-02 14:31",DFW,MIA,US,280,"2015-09-16 18:15","2015-09-16 22:00",105,36,141,,
97,,MIA,ORD,F9,1323,"2015-09-02 12:25","2015-09-02 14:45",ORD,MIA,F9,1312,"2015-09-16 07:25","2015-09-16 11:35",10,29,40,,
98,,MIA,ATL,F9,607,"2015-09-02 14:20","2015-09-02 16:15",ATL,MIA,F9,1442,"2015-09-16 16:18","2015-09-16 18:15",10,29,40,,
99,,MIA,IAD,F9,1070,"2015-09-02 10:00","2015-09-02 12:30",IAD,MIA,F9,1071,"2015-09-16 06:30","2015-09-16 09:10",65,33,99,,
100,,MIA,JFK,US,1048,"2015-09-02 15:35","2015-09-02 18:37",JFK,MIA,US,2243,"2015-09-16 05:40","2015-09-16 08:40",256,47,304,,
101,,MIA,BOS,US,1509,"2015-09-02 07:00","2015-09-02 10:15",BOS,MIA,US,1086,"2015-09-16 17:00","2015-09-16 20:23",253,47,301,,
102,,MIA,LAS,US,2203,"2015-09-02 21:35","2015-09-02 23:45",LAS,MIA,US,989,"2015-09-16 12:41","2015-09-16 20:28",298,50,349,,
103,,MIA,OGG,US,1541,"2015-09-02 07:05","2015-09-02 13:55",OGG,MIA,US,645,"2015-09-16 22:30","2015-09-17 16:02",749,89,839,,
104,,IAD,SFO,US,4953,"2015-09-02 05:20","2015-09-02 09:53",SFO,IAD,US,2207,"2015-09-16 12:00","2015-09-16 22:34",379,72,451,,
105,,IAD,PHX,US,1003,"2015-09-02 12:05","2015-09-02 15:55",PHX,IAD,US,1810,"2015-09-16 06:30","2015-09-16 15:44",341,69,410,,
106,,IAD,DEN,UA,309,"2015-09-02 19:54","2015-09-02 21:33",DEN,IAD,UA,1245,"2015-09-16 07:55","2015-09-16 13:14",414,59,474,,
107,,IAD,DFW,US,127,"2015-09-02 07:20","2015-09-02 09:27",DFW,IAD,US,2293,"2015-09-16 18:35","2015-09-16 22:34",128,37,166,,
108,,IAD,ORD,UA,397,"2015-09-02 12:35","2015-09-02 13:34",ORD,IAD,UA,342,"2015-09-16 20:50","2015-09-16 23:35",330,52,383,,
109,,IAD,ATL,F9,223,"2015-09-02 13:15","2015-09-02 15:10",ATL,IAD,F9,1490,"2015-09-16 14:55","2015-09-16 16:45",84,34,119,,
110,,IAD,MIA,F9,1071,"2015-09-02 06:30","2015-09-02 09:13",MIA,IAD,F9,1070,"2015-09-16 10:00","2015-09-16 12:30",65,33,99,,
111,,IAD,JFK,B6,1308,"2015-09-02 09:24","2015-09-02 10:42",JFK,IAD,B6,1307,"2015-09-16 07:41","2015-09-16 08:52",137,38,176,,
112,,IAD,BOS,B6,156,"2015-09-02 10:22","2015-09-02 11:47",BOS,IAD,B6,157,"2015-09-16 08:10","2015-09-16 09:47",202,43,246,,
113,,IAD,LAS,F9,1125,"2015-09-02 21:50","2015-09-02 23:59",LAS,IAD,F9,1126,"2015-09-16 00:20","2015-09-16 07:53",84,34,119,,
114,,IAD,OGG,UA,1754,"2015-09-02 06:47","2015-09-02 13:17",OGG,IAD,UA,1288,"2015-09-16 14:32","2015-09-17 07:25",758,91,850,,
120,,JFK,SFO,VX,25,"2015-09-02 11:55","2015-09-02 15:05",SFO,JFK,VX,26,"2015-09-16 15:10","2015-09-16 23:40",416,59,476,,
121,,JFK,LAX,UA,703,"2015-09-02 11:25","2015-09-02 14:20",LAX,JFK,UA,233,"2015-09-16 16:25","2015-09-17 00:45",440,61,502,,
122,,JFK,PHX,US,654,"2015-09-02 13:30","2015-09-02 15:46",PHX,JFK,US,622,"2015-09-16 15:30","2015-09-16 23:21",341,53,395,,
123,,JFK,SEA,B6,63,"2015-09-02 09:01","2015-09-02 12:11",SEA,JFK,B6,464,"2015-09-16 13:19","2015-09-16 21:43",346,54,401,,
